subject,reference,objective,exam_modules,tk_modules,nearest_score,nearest_source,nearest_heading
090-Communications,090.02.01.01.01,Know the phonetic alphabet used in RT.,,3,0.442,090-communications.qmd,Radio Techniques > Transmission of Letters
090-Communications,090.02.01.01.02,Identify the circumstances when words should be spelt out.,,3,0.615,090-communications.qmd,Radio Techniques > Standard Words and Phrases > How Do You Read
090-Communications,090.02.01.02.01,"Describe the method of transmission of numbers: pronunciation; single digits, whole hundreds and whole thousands; state how numbers are transmitted in different circumstances.",,3,0.301,090-communications.qmd,Radio Techniques > Transmission of Time
090-Communications,090.02.01.06.02,Identify the call-sign suffixes for aeronautical stations.,3,,0.619,090-communications.qmd,Radio Phraseology > General RT Procedures
090-Communications,090.02.01.06.03,Explain when the call sign may be omitted or abbreviated to the use of suffix only.,3,,0.558,090-communications.qmd,Radio Phraseology > Summary
090-Communications,090.02.01.07.05,Explain the use of the phrase 'Change your call sign to...'.,3,,0.498,010-air-law-m3.qmd,ICAO Doc 4444 - Air Traffic Services > Changes to FPL
090-Communications,090.02.01.09.02,State the readability scale and explain its meaning.,3,2,0.126,090-communications.qmd,Radio Phraseology > Radio Test Procedures - RADIO CHECK
090-Communications,090.03.01.02.03,Explain and demonstrate how to decode ATIS messages.,3,,0.685,010-air-law-m3.qmd,Annex 11 - Air Traffic Services > Automatic Terminal INformation ATIS broadccasts > Contents Of Atis Broadcast
090-Communications,090.04.01.01.09,Explain the causes and possible safety impacts of a blocked frequency.,3,,0.435,090-communications.qmd,Radio Theory > Adding Information > Frequency Modulation
090-Communications,090.05.01.01.07,List the correctly sequenced elements of a DISTRESS signal/message and describe the message content.,,3,0.697,090-communications.qmd,Categories of Messages > Message Categories
090-Communications,090.05.01.02.06,List the correctly sequenced elements of an URGENCY signal/message and describe the message content.,,3,0.697,090-communications.qmd,Categories of Messages > Message Categories
090-Communications,090.06.01.01.05,State the frequency separation allocated between consecutive VHF frequencies.,3,,0.662,090-communications.qmd,Radio Theory > Frequency Spectrum
