priority,primary_area,areas,source_type,file,path,ext,size_mb,pages,note,duplicates,snippet
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Authority handbook / public training reference,FAA-H-8083-15B (1).pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-15B (1).pdf,pdf,65.2,371,Good public cross-check source; adapt to EASA terminology where needed.,FAA-H-8083-15B.pdf,IInnssttrruummeenntt FFllyyiinngg HHaannddbbooookk ((FFAAAA--HH--88008833--1155BB)) NNoottee An errata sheet indicating the content and grammatical errors discovered in this handbook since its publication can be found at http://www.faa.gov/regulations_policies/ handbooks_manuals/aviation/ These erro
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Authority handbook / public training reference,FAA-H-8083-15B-AddA.pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-15B-AddA.pdf,pdf,0.7,3,Good public cross-check source; adapt to EASA terminology where needed.,,Instrument Flying Handbook (FAA-H-8083-15B) Addendum: Angle of Attack Indicators April 2015 The FAA along with the General Aviation Joint Steering Committee (GAJSC) is promoting Angle of Attack (AOA) indicators as one of the many safety initiatives aimed at reducing the General Aviation accident rat
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Authority handbook / public training reference,FAA-H-8083-15B-AddB.pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-15B-AddB.pdf,pdf,0.0,1,Good public cross-check source; adapt to EASA terminology where needed.,,"Instrument Flying Handbook (FAA-H-8083-15B) Addendum B: False Courses November 2019 The following will replace the content found on page 9-40 under “ILS Errors”: 2. False courses. In addition to the desired course, glideslope (GS) facilities inherently produce additional courses at higher vertical a"
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Authority handbook / public training reference,FAA-H-8083-15B.pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-15B.pdf,pdf,65.2,371,Good public cross-check source; adapt to EASA terminology where needed.,FAA-H-8083-15B (1).pdf,IInnssttrruummeenntt FFllyyiinngg HHaannddbbooookk ((FFAAAA--HH--88008833--1155BB)) NNoottee An errata sheet indicating the content and grammatical errors discovered in this handbook since its publication can be found at http://www.faa.gov/regulations_policies/ handbooks_manuals/aviation/ These erro
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Training textbook / exam prep,Volume 14 Electronics V13.2.pdf,/Users/rainerkoelle/Downloads/Volume 14 Electronics V13.2.pdf,pdf,5.4,384,Likely directly useful for exam-style concise explanations.,,AP3456 Volume 14 –Electronics Page 1 of 1 AP3456 The Central Flying School (CFS) Manual of Flying Volume 14 Electronics Ch 1 Basic Electricity Ch 2 Magnetism CH 3 Electromagnetic Induction-Inductance Ch 4 Electrostatics and Capacitance Ch 5 Measuring Instruments Ch 6 DC Machines Ch 7 Alternating Cur
High,033 Flight Planning,033 Flight Planning,Training textbook / exam prep,ATPL-FlightPlanning+Monitoring.pdf,/Users/rainerkoelle/Downloads/ATPL-FlightPlanning+Monitoring.pdf,pdf,13.1,340,Likely directly useful for exam-style concise explanations.,,"ATPL GROUND TRAINING SERIES FLIGHT PLANNING AND MONITORING IntroductionI ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied, sto"
High,033 Flight Planning,033 Flight Planning,Training textbook / exam prep,ATPL-Mass+Balance.pdf,/Users/rainerkoelle/Downloads/ATPL-Mass+Balance.pdf,pdf,72.6,540,Likely directly useful for exam-style concise explanations.,,"ATPL GROUND TRAINING SERIES MASS AND BALANCE • PERFORMANCE IntroductionI ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied, sto"
High,033 Flight Planning,033 Flight Planning,Authority handbook / public training reference,caa-gap-fuel-management-web.pdf,/Users/rainerkoelle/Downloads/caa-gap-fuel-management-web.pdf,pdf,1.4,36,Good public cross-check source; adapt to EASA terminology where needed.,,"Fuel management Cover photo: CAA/Jess Jennings See the CAA website for Civil Aviation Rules, advisory circulars, airworthiness directives, forms, and more safety publications. Visit aviation.govt.nz. Every effort is made to ensure the information in this booklet is accurate and up-to-date at the tim"
High,033 Flight Planning,033 Flight Planning; 040 Human Performance; 050 Meteorology,Authority handbook / public training reference,Fuel_Consumption_and_Operational_Perform (1).pdf,/Users/rainerkoelle/Downloads/Fuel_Consumption_and_Operational_Perform (1).pdf,pdf,1.3,10,Good public cross-check source; adapt to EASA terminology where needed.,Fuel_Consumption_and_Operational_Perform.pdf,"1 Ninth USA/Europe Air Traffic Management Research and Development Seminar (ATM2011 ) Fuel Consumption and Operational Performance Megan S. Ryerson, Mark Hansen Department of Civil and Environmental Engineering University of California, Berkeley Berkeley, CA, USA msmirti@berkeley.edu , mhansen@ce.be"
High,033 Flight Planning,033 Flight Planning; 040 Human Performance; 050 Meteorology,Authority handbook / public training reference,Fuel_Consumption_and_Operational_Perform.pdf,/Users/rainerkoelle/Downloads/Fuel_Consumption_and_Operational_Perform.pdf,pdf,1.3,10,Good public cross-check source; adapt to EASA terminology where needed.,Fuel_Consumption_and_Operational_Perform (1).pdf,"1 Ninth USA/Europe Air Traffic Management Research and Development Seminar (ATM2011 ) Fuel Consumption and Operational Performance Megan S. Ryerson, Mark Hansen Department of Civil and Environmental Engineering University of California, Berkeley Berkeley, CA, USA msmirti@berkeley.edu , mhansen@ce.be"
High,033 Flight Planning,033 Flight Planning; 050 Meteorology,Training textbook / exam prep,Metz_AIAA_Aircraft_Performance_2016.pdf,/Users/rainerkoelle/Downloads/Metz_AIAA_Aircraft_Performance_2016.pdf,pdf,3.1,14,Likely directly useful for exam-style concise explanations.,,"Delft University of Technology Aircraft Performance for Open Air Traffic Simulations Metz, Isabel; Hoekstra, Jacco; Ellerbroek, Joost; Kugler, D. DOI 10.2514/6.2016-3522 Publication date 2016 Document Version Accepted author manuscript Published in AIAA Modeling and Simulation Technologies Conferenc"
High,040 Human Performance,040 Human Performance,Training textbook / exam prep,ATPL-HP.pdf,/Users/rainerkoelle/Downloads/ATPL-HP.pdf,pdf,12.2,464,Likely directly useful for exam-style concise explanations.,HumanPerformanceLimitations.pdf,"ATPL GROUND TRAINING SERIES HUMAN PERFORMANCE AND LIMITATIONS Introduction I ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied,"
High,040 Human Performance,040 Human Performance; 050 Meteorology; 062 Navigation / Radio Navigation,Authority handbook / public training reference,CAA-Flight-Instructor-Guide-web.pdf,/Users/rainerkoelle/Downloads/CAA-Flight-Instructor-Guide-web.pdf,pdf,21.2,300,Good public cross-check source; adapt to EASA terminology where needed.,,1212 Flight Instructor Guide CAA Flight Instructor Guide 2 CONTENTS This section of the Flight Instructor Guide supports the Instructional Techniques Course required for an instructor rating. Cover photo: iStock.com/Harbucks Instructional theory 4 Instructional theory introduction 5 Learning theory
High,040 Human Performance,040 Human Performance,Training textbook / exam prep,HumanPerformanceLimitations.pdf,/Users/rainerkoelle/Downloads/HumanPerformanceLimitations.pdf,pdf,12.2,464,Likely directly useful for exam-style concise explanations.,ATPL-HP.pdf,"ATPL GROUND TRAINING SERIES HUMAN PERFORMANCE AND LIMITATIONS Introduction I ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied,"
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,ATPL-JAA-MET.pdf,/Users/rainerkoelle/Downloads/ATPL-JAA-MET.pdf,pdf,12.6,354,Likely directly useful for exam-style concise explanations.,,"ii These materials are to be used only for the purpose of individual, private study and may not be reproduced in any form or medium, copied, stored in a retrieval system, lent, hired, rented, transmitted, or adapted in whole or in part without the prior written consent of Jeppesen. Copyright in all"
High,050 Meteorology,050 Meteorology,Regulatory / syllabus reference,BIR_Meteorology_Study_Notes.pdf,/Users/rainerkoelle/Downloads/BIR_Meteorology_Study_Notes.pdf,pdf,0.6,9,Use for validation and exact wording; not always ideal for aide-memoire prose.,,"EASA Basic IR – Study Notes Appendix 050 Meteorology 1. Introduction to Aviation Meteorology Meteorology studies the atmosphere and its phenomena. For pilots, the focus is on weather affecting flight safety: pressure, temperature, humidity, wind, clouds, visibility, and hazards. 2. The Atmosphere Th"
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,caa-gap-mountain-flying-may-2021-web (1).pdf,/Users/rainerkoelle/Downloads/caa-gap-mountain-flying-may-2021-web (1).pdf,pdf,1.5,36,Good public cross-check source; adapt to EASA terminology where needed.,caa-gap-mountain-flying-may-2021-web (2).pdf; caa-gap-mountain-flying-may-2021-web.pdf,"Mountain flying Cover photo: iStock.com/antonel See the CAA website for Civil Aviation Rules, advisory circulars, airworthiness directives, forms, and more safety publications. Visit aviation.govt.nz. Every effort is made to ensure the information in this booklet is accurate and up-to-date at the ti"
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,caa-gap-mountain-flying-may-2021-web (2).pdf,/Users/rainerkoelle/Downloads/caa-gap-mountain-flying-may-2021-web (2).pdf,pdf,1.5,36,Good public cross-check source; adapt to EASA terminology where needed.,caa-gap-mountain-flying-may-2021-web (1).pdf; caa-gap-mountain-flying-may-2021-web.pdf,"Mountain flying Cover photo: iStock.com/antonel See the CAA website for Civil Aviation Rules, advisory circulars, airworthiness directives, forms, and more safety publications. Visit aviation.govt.nz. Every effort is made to ensure the information in this booklet is accurate and up-to-date at the ti"
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,caa-gap-mountain-flying-may-2021-web.pdf,/Users/rainerkoelle/Downloads/caa-gap-mountain-flying-may-2021-web.pdf,pdf,1.5,36,Good public cross-check source; adapt to EASA terminology where needed.,caa-gap-mountain-flying-may-2021-web (1).pdf; caa-gap-mountain-flying-may-2021-web (2).pdf,"Mountain flying Cover photo: iStock.com/antonel See the CAA website for Civil Aviation Rules, advisory circulars, airworthiness directives, forms, and more safety publications. Visit aviation.govt.nz. Every effort is made to ensure the information in this booklet is accurate and up-to-date at the ti"
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,EASA-MET-clouds.pdf,/Users/rainerkoelle/Downloads/EASA-MET-clouds.pdf,pdf,4.9,7,Likely directly useful for exam-style concise explanations.,,"Clouds By flyingbornean < https://easaatplexamguide.wordpress.com/author/flyingbornean/> LOW CLOUDS 1. STRATUS(ST)– Bases from ground level to 6500ft, light tomoderate icing , No turbulence. Can form from: Lifting of fogDue to moderate to continuous precipitationBy mixing of warm and cold air 2. STR"
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,EASA-MET-ELR-DALR-SALR.pdf,/Users/rainerkoelle/Downloads/EASA-MET-ELR-DALR-SALR.pdf,pdf,0.3,3,Likely directly useful for exam-style concise explanations.,,THERMODYNAMICS By flyingbornean < https://easaatplexamguide.wordpress.com/author/flyingbornean/> The all you need to know guide of THERMODYNAMICS for theEASA ATPL exam DEFINITIONSLapse Rate – the decrease or increase of temperature with altitude.– 3 TYPES of lapse rate Adiabatic – means no heat tran
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,EASA-MET-ISA-Altimetry.pdf,/Users/rainerkoelle/Downloads/EASA-MET-ISA-Altimetry.pdf,pdf,0.3,5,Likely directly useful for exam-style concise explanations.,,ALTIMETRY By flyingbornean < https://easaatplexamguide.wordpress.com/author/flyingbornean/> ALTIMETRY 1. 1013Hpa= Sea Level 850Hpa=5000ft 700Hpa=10000ft 500Hpa=18000ft 400Hpa=24000ft 300Hpa=30000ft 250Hpa=34000ft 200Hpa=39000ft Note: You should memorize and remember this as it is a frequentquestion
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,EASA-MET-Notes-Wind-ATPL.pdf,/Users/rainerkoelle/Downloads/EASA-MET-Notes-Wind-ATPL.pdf,pdf,0.1,7,Likely directly useful for exam-style concise explanations.,,WINDS By flyingbornean SEA BREEZE 1. Blows from sea to land2. Occurs especially during warm afternoonswith cloudless skies When insolation heats the land surface more rapidly than seasurface 1. Layer of air in contact with land = warms up and expands2. This creates a Lower pressure areaat the Land s
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,FAA-H-8083-28_FAA_Web.pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-28_FAA_Web.pdf,pdf,31.1,532,Good public cross-check source; adapt to EASA terminology where needed.,,Aviation Weather Handbook 2022 United States Department of Transportation FEDERAL AVIATION ADMINISTRATION Flight Standards Service
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,FAA-H-8083-28A_FAA_Web (1).pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-28A_FAA_Web (1).pdf,pdf,30.9,539,Good public cross-check source; adapt to EASA terminology where needed.,FAA-H-8083-28A_FAA_Web.pdf; Meteorology-AviationWeather-FAA-H-8083-28A.pdf,Aviation Weather Handbook 2024 United States Department of Transportation FEDERAL AVIATION ADMINISTRATION Flight Standards Service
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,FAA-H-8083-28A_FAA_Web.pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-28A_FAA_Web.pdf,pdf,30.9,539,Good public cross-check source; adapt to EASA terminology where needed.,FAA-H-8083-28A_FAA_Web (1).pdf; Meteorology-AviationWeather-FAA-H-8083-28A.pdf,Aviation Weather Handbook 2024 United States Department of Transportation FEDERAL AVIATION ADMINISTRATION Flight Standards Service
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,MET-4-PPL.pdf,/Users/rainerkoelle/Downloads/MET-4-PPL.pdf,pdf,0.1,9,Likely directly useful for exam-style concise explanations.,,"Meteorologie für Privatpiloten Seite - 1 Erstellt von: Dr. Christian Husek 1230 Wien www.sportmedpraxis.com/Meteorologie.doc Meteorologie für die PPL – Schulung Das Wetter ist die größte, jeden Flug betreffende Variable und daher eines der Dinge, die Fliegen zu einer Herausforderung und aufregend ma"
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,Meteorological Applications - 2008 - Markovic - A statistical study of the weather impact on punctuality at Frankfurt.pdf,/Users/rainerkoelle/Downloads/Meteorological Applications - 2008 - Markovic - A statistical study of the weather impact on punctuality at Frankfurt.pdf,pdf,0.3,11,Likely directly useful for exam-style concise explanations.,,"METEOROLOGICAL APPLICATIONS Meteorol. Appl. 15: 293–303 (2008) Published online 17 April 2008 in Wiley InterScience (www.interscience.wiley.com) DOI: 10.1002/met.74 A statistical study of the weather impact on punctuality at Frankfurt Airport D. Markovic* , T. Hauf, P. R ¨ohner and U. Spehr Institut"
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,Meteorology-AviationWeather-FAA-H-8083-28A.pdf,/Users/rainerkoelle/Downloads/Meteorology-AviationWeather-FAA-H-8083-28A.pdf,pdf,30.9,539,Good public cross-check source; adapt to EASA terminology where needed.,FAA-H-8083-28A_FAA_Web (1).pdf; FAA-H-8083-28A_FAA_Web.pdf,Aviation Weather Handbook 2024 United States Department of Transportation FEDERAL AVIATION ADMINISTRATION Flight Standards Service
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,RCAF-Weather-Manual-Workbook (1).pdf,/Users/rainerkoelle/Downloads/RCAF-Weather-Manual-Workbook (1).pdf,pdf,18.9,205,Good public cross-check source; adapt to EASA terminology where needed.,RCAF-Weather-Manual-Workbook.pdf,ROYAL CANADIAN AIR FORCE WEATHER MANUAL WORKBOOK B-GA-007-002/PT-D01 2012-11-01 ROYALCANADIANAIRFORCEWEATHERMANUALWORKBOOK WeatherManual Wkbk Cover eng 2013:weather manual cover 10/23/12 2:34 PM Page 1 ROYAL CANADIAN AIR FORCE WEATHER MANUAL WORKBOOK (ENGLISH ) (S upersedes B-GA-007-002/PT-D01 dated
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,RCAF-Weather-Manual-Workbook.pdf,/Users/rainerkoelle/Downloads/RCAF-Weather-Manual-Workbook.pdf,pdf,18.9,205,Good public cross-check source; adapt to EASA terminology where needed.,RCAF-Weather-Manual-Workbook (1).pdf,ROYAL CANADIAN AIR FORCE WEATHER MANUAL WORKBOOK B-GA-007-002/PT-D01 2012-11-01 ROYALCANADIANAIRFORCEWEATHERMANUALWORKBOOK WeatherManual Wkbk Cover eng 2013:weather manual cover 10/23/12 2:34 PM Page 1 ROYAL CANADIAN AIR FORCE WEATHER MANUAL WORKBOOK (ENGLISH ) (S upersedes B-GA-007-002/PT-D01 dated
High,050 Meteorology,050 Meteorology,Authority handbook / public training reference,RCAF-Weather-Manual.pdf,/Users/rainerkoelle/Downloads/RCAF-Weather-Manual.pdf,pdf,38.1,345,Good public cross-check source; adapt to EASA terminology where needed.,,ROYAL CANADIAN AIR FORCE WEATHER MANUAL ROYALCANADIANAIRFORCEWEATHERMANUAL B-GA-007-001/PT-D01 2012-11-01 WeatherManual Cover eng 2013:weather manual cover 12/18/12 1:20 PM Page 1 ROYAL CANADIAN AIR FORCE WEATHER MANUAL (ENGLISH) B-GA-007-001/PT-D01 (Supersedes B-GA-007-001/PT-D01 dated 2004-12-17 a
